,0,1,2
0,1.3867246,0.0002582426,-0.13298208
1,1.1152314,0.085912675,-0.03208166
2,1.1751083,-0.23066686,-0.13741228
3,1.1521311,-0.1978516,-0.14360844
4,1.2589751,0.013367856,-0.13464993
5,1.2945372,-0.23232535,-0.149098
6,1.1067928,-0.13470447,-0.12127662
7,1.159869,0.029805146,-0.06038088
8,1.3456218,-0.18429096,-0.13623643
9,1.042787,-0.12789744,-0.116085984
10,1.0530487,-0.15505178,-0.14837839
11,1.4043217,-0.16160817,-0.13374892
12,0.9995188,-0.12008266,-0.12100661
13,1.0744879,-0.15634094,-0.1533707
14,1.1016687,-0.18375173,-0.14886852
15,1.2115878,-0.21675795,-0.14197749
16,1.4464628,-0.172507,-0.1270079
17,1.3067377,-0.12164234,-0.12795833
18,1.4565847,-0.1808332,-0.15725093
19,1.0622693,-0.24180546,-0.15324739
20,1.0813254,-0.17069703,-0.16301288
21,1.3534422,-0.18196873,-0.15480529
22,1.4549922,-0.12582122,-0.11617901
23,1.2377752,-0.2092356,-0.19684948
24,1.1925683,-0.113738865,-0.17092931
25,1.3298609,-0.092650406,-0.16461422
26,1.4502118,-0.1883543,-0.14469993
27,1.3175725,-0.20772938,-0.14512663
28,1.3842328,-0.21056107,-0.13882558
29,1.406601,-0.14084633,-0.11348013
30,1.4710493,-0.16662502,-0.19356814
31,1.3341584,-0.06881857,-0.11317954
32,1.447881,-0.15359981,-0.17213878
33,1.0587978,-0.2712597,-0.19732505
34,1.0164173,-0.21881856,-0.14410836
35,0.9275793,-0.13484523,-0.13327444
36,1.2644392,-0.2190449,-0.14367181
37,1.3274224,-0.1467126,-0.13108726
38,1.3884454,-0.08838878,-0.15407127
39,1.0994822,-0.05806234,-0.11700293
40,0.989445,0.046864122,-0.042309526
41,1.2266304,-0.045944847,-0.09673916
42,0.90002495,-0.22835115,-0.19171867
43,1.3396454,0.056465987,-0.08841644
44,1.1396557,-0.25081608,-0.15943539
45,1.2553083,-0.086004235,-0.11759639
46,1.4873104,-0.09635872,-0.18763477
47,1.1681745,-0.19403642,-0.1476698
48,1.0728239,-0.16903922,-0.17790386
49,1.0333675,0.020155739,-0.08823228
50,1.102911,-0.17750637,-0.13962136
51,1.1972075,-0.15313993,-0.16797613
52,1.1365566,-0.22098109,-0.15210034
53,0.91866815,-0.18938807,-0.1358234
54,1.3161737,-0.2835091,-0.21287246
55,1.4278287,-0.08569387,-0.18081422
56,1.0619564,-0.06343174,-0.12150412
57,1.2517512,-0.09165506,-0.10667095
58,1.122347,-0.21340603,-0.15751013
59,1.332965,-0.11275253,-0.14647022
60,1.2028234,-0.18984014,-0.13360235
61,1.4996296,-0.23383403,-0.16561107
62,1.1581051,-0.22185028,-0.14338923
63,1.3632406,-0.18023382,-0.1361196
64,1.2016002,-0.08419599,-0.16287386
65,1.4054017,-0.25770432,-0.1608023
66,1.2785375,0.061632592,-0.04187052
67,1.2628263,-0.0562281,-0.1050603
68,1.1377566,-0.13542809,-0.16877039
69,1.1781808,-0.021321865,-0.110460624
70,1.0117966,-0.21349752,-0.157209
71,1.3994353,-0.26869345,-0.1700847
72,1.2507683,-0.1339245,-0.1312483
73,0.974657,-0.07714148,-0.11680612
74,1.0103384,0.05767698,-0.040592607
75,1.2821865,-0.1918339,-0.14827396
76,1.3087425,-0.10198397,-0.104223795
77,1.0378776,-0.15663032,-0.12059096
78,1.0448488,-0.18893829,-0.1421236
79,1.0887666,-0.14158691,-0.15374905
80,1.0553651,-0.17139862,-0.16436723
81,1.3069994,-0.09506609,-0.11705063
82,1.2788258,0.04104421,-0.09623032
83,1.4690616,-0.13079694,-0.12649275
84,1.305444,-0.088780865,-0.109479554
85,0.8305765,-0.21765573,-0.1626427
